condition,seed,round,avg_belief_entropy,belief_argmax_accuracy,matched_cross_entropy,obs_count_so_far,belief_rep_coop_type0,belief_rep_def_type0
main,42,0,0.693145513976608,0.5333333333333333,1.3663943594532684,1,0.5,0.5
main,42,1,0.693143847393271,0.5666666666666667,1.3663943594532684,2,0.5,0.5
main,42,2,0.693142180809934,0.6,1.3663943594532684,3,0.5,0.5
main,42,3,0.6931405142265968,0.6333333333333333,1.3663943594532684,4,0.5,0.5
main,42,4,0.6931388476432598,0.3333333333333333,8.930250409013125,5,0.5,0.5
main,42,5,0.693057407661247,0.36666666666666664,8.930250409013125,6,0.5,0.5
main,42,6,0.693057410541148,0.36666666666666664,8.930250409013125,7,0.5,0.5
main,42,7,0.6929759705591352,0.4,8.930250409013125,8,0.5,0.5
main,42,8,0.6928945305771224,0.43333333333333335,8.930250409013125,9,0.5,0.5
main,42,9,0.6928945334545332,0.43333333333333335,3.222736622155817,10,0.5,0.5
main,42,10,0.6928194290801374,0.4666666666666667,3.222736622155817,11,0.5,0.5
main,42,11,0.6928193071856443,0.4666666666666667,3.222736622155817,12,0.5,0.5
main,42,12,0.6927442028112485,0.5,3.222736622155817,13,0.5,0.5
main,42,13,0.6925209092031681,0.5,3.222736622155817,14,0.5,0.5
main,42,14,0.6924458048287723,0.5333333333333333,2.030362066551893,15,0.5,0.5
main,42,15,0.6922450830042356,0.5666666666666667,2.030362066551893,16,0.5,0.5
main,42,16,0.6921986109859001,0.5666666666666667,2.030362066551893,17,0.5,0.5
main,42,17,0.6919582220253913,0.5666666666666667,2.030362066551893,18,0.5,0.5
main,42,18,0.6919100771139836,0.5666666666666667,2.030362066551893,19,0.5,0.5
main,42,19,0.6917093552894471,0.6,1.4000267605480985,20,0.5,0.5
main,42,20,0.6915855673362228,0.6,1.4000267605480985,21,0.5,0.5
main,42,21,0.6915637186575713,0.6333333333333333,1.4000267605480985,22,0.5,0.5
main,42,22,0.69154186997892,0.6666666666666666,1.4000267605480985,23,0.5,0.5
main,42,23,0.6915200213002687,0.7,1.4000267605480985,24,0.5,0.5
main,42,24,0.6914355040986117,0.7,1.6943325095260415,25,0.5,0.5
main,42,25,0.6913899281304315,0.7333333333333333,1.6943325095260415,26,0.5,0.5
main,42,26,0.6913443521622514,0.7666666666666667,1.6943325095260415,27,0.5,0.5
main,42,27,0.691277749823137,0.7666666666666667,1.6943325095260415,28,0.5,0.5
main,42,28,0.6912726461089107,0.8,1.6943325095260415,29,0.5,0.5
main,42,29,0.6909790333589737,0.8,1.4636619033705556,30,0.5,0.5
main,42,30,0.6908265195999183,0.8,1.4636619033705556,31,0.5,0.5
main,42,31,0.6906420231860732,0.8,1.4636619033705556,32,0.5,0.5
main,42,32,0.690639723517963,0.8333333333333334,1.4636619033705556,33,0.5,0.5
main,42,33,0.6905529803288363,0.8333333333333334,1.4636619033705556,34,0.5,0.5
main,42,34,0.690499226782708,0.8666666666666667,1.2948647764088554,35,0.5,0.5
main,42,35,0.6904644220987503,0.9,1.2948647764088554,36,0.5,0.5
main,42,36,0.6902970984243647,0.9,1.2948647764088554,37,0.5,0.5
main,42,37,0.6901485090625724,0.9,1.2948647764088554,38,0.5,0.5
main,42,38,0.6901056899762217,0.9,1.2948647764088554,39,0.5,0.5
main,42,39,0.6900628708898708,0.9,1.3311005259794655,40,0.5,0.5
main,42,40,0.6900464822952966,0.9,1.3311005259794655,41,0.5,0.5156776474021287
main,42,41,0.689845080930866,0.9,1.3311005259794655,42,0.5,0.5156776474021287
main,42,42,0.6897294628590013,0.9,1.3311005259794655,43,0.5,0.5156776474021287
main,42,43,0.6897027153660612,0.9333333333333333,1.3311005259794655,44,0.5,0.5156776474021287
main,42,44,0.6896702402259126,0.9333333333333333,1.3070159498964482,45,0.5,0.5156776474021287
main,42,45,0.6896294131294441,0.9333333333333333,1.3070159498964482,46,0.5,0.5156776474021287
main,42,46,0.6892982446763682,0.9333333333333333,1.3070159498964482,47,0.5,0.5156776474021287
main,42,47,0.6891957971123823,0.9333333333333333,1.3070159498964482,48,0.5,0.5156776474021287
main,42,48,0.6890760997275156,0.9333333333333333,1.3070159498964482,49,0.5,0.5156776474021287
main,42,49,0.6888393529237714,0.9333333333333333,1.2525446343103495,50,0.5,0.5156776474021287
